date,item_id,sales,q1,q3,lower_threshold,upper_threshold,is_anomaly
2011-02-26,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-02-27,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-02-28,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-01,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-03-02,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-03,FOODS_1_001,7,0.0,1.0,-1.5,2.5,True
2011-03-04,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-05,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-03-06,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-03-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-08,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-09,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-03-10,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-03-11,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-12,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-13,FOODS_1_001,5,0.0,1.0,-1.5,2.5,True
2011-03-14,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-15,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-16,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-17,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-18,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-19,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-20,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-21,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-22,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-23,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-24,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-25,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-26,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-03-27,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-03-28,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-29,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-03-30,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-03-31,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-01,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-02,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-03,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-04,FOODS_1_001,4,0.0,1.0,-1.5,2.5,True
2011-04-05,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-06,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-04-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-08,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-04-09,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-10,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-04-11,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-04-12,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-04-13,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-04-14,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-15,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-04-16,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-04-17,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-04-18,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-19,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-04-20,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-21,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-22,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-23,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-04-24,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-25,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-26,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-27,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-28,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-29,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-04-30,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-05-01,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-05-02,FOODS_1_001,7,0.0,1.0,-1.5,2.5,True
2011-05-03,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-04,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-05,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-06,FOODS_1_001,9,0.0,1.0,-1.5,2.5,True
2011-05-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-08,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-09,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-10,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-11,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-05-12,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-13,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-14,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-05-15,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-16,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-05-17,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-18,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-19,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-20,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-21,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-22,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-05-23,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-24,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-25,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-05-26,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-27,FOODS_1_001,6,0.0,1.0,-1.5,2.5,True
2011-05-28,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-05-29,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-05-30,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-05-31,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-06-01,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-02,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-06-03,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-04,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-05,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-06,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-08,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-06-09,FOODS_1_001,4,0.0,1.0,-1.5,2.5,True
2011-06-10,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-11,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-12,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-06-13,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-14,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-06-15,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-06-16,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-17,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-06-18,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-06-19,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-06-20,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-06-21,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-06-22,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-06-23,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-24,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-06-25,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-06-26,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-27,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-06-28,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-29,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-06-30,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-01,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-02,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-07-03,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-04,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-05,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-06,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-08,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-09,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-07-10,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-11,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-12,FOODS_1_001,4,0.0,1.0,-1.5,2.5,True
2011-07-13,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-14,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-15,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-16,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-17,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-18,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-19,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-20,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-21,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-07-22,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-23,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-07-24,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-25,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-26,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-27,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-07-28,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-29,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-07-30,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-07-31,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-08-01,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-02,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-03,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-08-04,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-08-05,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-06,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-08,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-09,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-10,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-11,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-12,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-13,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-14,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-15,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-16,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-17,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-18,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-19,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-20,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-21,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-22,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-23,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-24,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-25,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-26,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-27,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-28,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-29,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-30,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-08-31,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-01,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-02,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-03,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-04,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-05,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-06,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-08,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-09,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-10,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-11,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-12,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-13,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-14,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-15,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-16,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-17,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-18,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-19,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-20,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-21,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-22,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-23,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-24,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-25,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-26,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-27,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-28,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-29,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-09-30,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-01,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-02,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-03,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-04,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-05,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-06,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-08,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-09,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-10,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-11,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-12,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-13,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-14,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-15,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-16,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-17,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-18,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-19,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-20,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-21,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-22,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-23,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-24,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-25,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-26,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-27,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-28,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-29,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-30,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-10-31,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-11-01,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-11-02,FOODS_1_001,3,0.0,1.0,-1.5,2.5,True
2011-11-03,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-11-04,FOODS_1_001,4,0.0,1.0,-1.5,2.5,True
2011-11-05,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-11-06,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-11-07,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-11-08,FOODS_1_001,2,0.0,1.0,-1.5,2.5,False
2011-11-09,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
2011-11-10,FOODS_1_001,0,0.0,1.0,-1.5,2.5,False
2011-11-11,FOODS_1_001,1,0.0,1.0,-1.5,2.5,False
